timestamp,lat,lon,heading,in_eca,sulphur,so2_co2,compliance,vessel_name,signature
2025-06-24T09:54:32.928189+00:00,51.61077983333333,4.9927,150.0,FALSE,0.1,1.0,Compliant,MSC NORA,0386e4d897c4124951c974ec9c56a73ed2f0e94992023e67b32bd431f138bc6c
2025-06-24T10:04:32.933089+00:00,51.491333833333336,5.1036045,149.99,FALSE,0.1,1.0,Compliant,MSC NORA,b7a27b1155f9c426b5a17b0a479d812adc599cf6609583c3070fff309d734502
2025-06-24T10:14:33.928591+00:00,51.371693,5.214398833333333,149.98,FALSE,0.1,1.0,Compliant,MSC NORA,e86be31befa5640e7d2c1437d93845133385f2e8514062da42a2c37c3d4276c9
2025-06-24T10:24:34.884042+00:00,52.25531,3.321915833333333,150.01,FALSE,0.1,1.0,Compliant,MSC NORA,e429a414504b38393c43962818ebf9dcbc527d06bb36ebeaf748793e3880540a
2025-06-24T10:34:35.888494+00:00,52.135734166666666,3.4345433333333335,150.03,FALSE,0.1,1.0,Compliant,MSC NORA,3464c0f2a4ebd220c05a77113df4fd232a0ce38768d7a87038968b4b08b40c31
2025-06-24T10:44:36.876901+00:00,52.016141,3.5468853333333334,150.01,TRUE,0.1,1.0,Compliant,MSC NORA,1a4c3aabd675d00334014c9f8a36620fdc35046919d93d406717122dddc4215c
2025-06-24T10:54:36.877546+00:00,51.89670866666667,3.6587768333333335,150.01,FALSE,0.1,1.0,Compliant,MSC NORA,faa2a5131f6b3104fd4f9035ee6e326815ee3767b7283c7fa0b7b7b4c4f449ac
2025-06-24T11:04:37.878786+00:00,51.7770665,3.7705671666666665,149.99,FALSE,0.1,1.0,Compliant,MSC NORA,6a12c8f37b87cc1c37812d56640c3686dd818870b86dd441d1bce174bccf64b6
2025-06-24T11:14:38.879345+00:00,51.65741416666667,3.8820708333333336,150.0,FALSE,0.1,1.0,Compliant,MSC NORA,7574716cbaec8774a5287e9b5cdc348e08a4457ba3210f1e8f91497b0bbeaa8a
2025-06-24T11:24:39.869015+00:00,51.537766500000004,3.993276333333333,150.0,FALSE,0.1,1.0,Compliant,MSC NORA,6f54970d613ec5a3d85a0e4ad4eb8ef8ca2a7f2166287b40ecee160d3ae6c161
